EnrollmentID,StudentID,SectionID,StudyHours,Absences
1,11560,86,9.6,3
2,14195,469,12.5,6
3,13469,381,2.7,5
4,13952,154,2.2,2
5,14267,170,8.2,3
6,10148,445,9.0,3
7,12171,167,12.1,2
8,10112,386,8.6,1
9,14164,185,13.5,3
10,10828,306,10.4,4
11,11753,113,7.7,4
12,12940,144,13.8,6
13,13729,318,10.8,3
14,13617,354,6.1,4
15,13724,395,12.3,1
16,12278,211,12.3,4
17,10160,383,6.2,3
18,13366,191,10.3,2
19,12234,286,11.8,1
20,11014,182,5.0,2
21,14973,455,13.2,2
22,10552,155,7.9,0
23,11176,342,7.4,3
24,11164,192,9.1,7
25,11309,81,12.1,0
26,11493,335,13.0,0
27,11242,393,15.0,7
28,14532,332,7.3,4
29,14828,456,11.1,1
30,11778,386,12.0,6
31,10060,49,11.5,3
32,11634,304,7.1,2
33,12452,55,10.8,1
34,10336,336,11.0,5
35,10831,67,8.1,3
36,11593,115,11.5,3
37,14381,112,10.6,2
38,10960,159,5.9,2
39,14167,107,11.9,3
40,11122,26,10.3,3
41,12224,489,4.3,5
42,13817,110,9.1,3
43,14980,66,10.4,7
44,11099,414,7.8,10
45,10143,205,10.9,4
46,12979,101,9.1,3
47,11047,500,13.1,5
48,11069,206,10.8,5
49,14188,1,15.7,1
50,13341,224,5.7,1
51,14774,70,11.0,2
52,13436,150,10.1,2
53,13780,459,11.3,7
54,14478,369,13.9,3
55,10966,215,5.7,1
56,11180,310,11.8,5
57,12435,142,11.0,4
58,10501,14,7.3,5
59,14555,468,13.6,6
60,10050,199,10.2,3
61,10970,19,7.8,4
62,10988,410,11.3,2
63,14628,315,12.9,6
64,11116,150,11.0,3
65,13933,262,8.7,2
66,11480,319,7.6,1
67,14435,333,7.6,2
68,13125,74,12.4,3
69,13568,438,12.8,3
70,11659,383,9.2,4
71,11877,403,17.0,1
72,12052,351,9.3,1
73,14377,266,9.8,0
74,12816,293,8.8,1
75,10971,461,9.6,1
76,10208,145,9.9,4
77,10260,439,11.7,2
78,14359,133,9.4,2
79,10783,405,11.8,4
80,10505,374,5.2,2
81,11574,423,8.1,2
82,14299,148,9.0,8
83,11760,455,9.2,3
84,13795,399,4.5,5
85,13591,79,12.7,2
86,14141,309,5.6,2
87,11402,215,8.1,1
88,10789,33,9.9,4
89,13330,378,16.1,4
90,12845,428,9.8,8
91,13986,194,11.3,5
92,14013,178,5.5,7
93,12093,288,7.5,1
94,12968,335,7.9,7
95,11070,455,8.4,2
96,11676,201,13.1,2
97,12613,439,8.4,3
98,14397,412,11.8,5
99,10288,470,7.7,3
100,10786,3,9.2,0
101,12317,53,2.8,6
102,12839,426,9.8,3
103,13638,258,10.0,4
104,12629,121,9.4,2
105,11266,150,15.9,4
106,12984,153,9.8,1
107,13016,217,1.8,3
108,10071,416,6.3,2
109,14931,492,9.9,4
110,12461,135,9.8,3
111,10612,256,7.6,4
112,13524,62,6.9,3
113,13703,287,14.2,6
114,12577,63,13.0,2
115,10191,293,13.4,1
116,11748,68,8.1,0
117,12126,225,12.1,5
118,11629,335,2.3,2
119,14985,137,8.8,2
120,13373,454,8.3,1
121,12997,46,9.2,4
122,10017,95,10.3,2
123,14911,290,9.5,2
124,11598,364,6.6,2
125,11067,247,7.8,3
126,13140,316,11.6,0
127,13452,486,11.1,1
128,12260,397,14.8,2
129,12251,292,10.9,3
130,12774,480,14.5,4
131,14205,214,5.7,0
132,10284,256,11.8,2
133,12989,48,12.3,3
134,14833,93,11.5,3
135,10603,459,6.4,4
136,11364,6,11.0,2
137,13353,389,8.9,3
138,14076,193,11.7,2
139,14587,499,9.7,3
140,10801,103,8.3,2
141,10760,434,16.8,2
142,11494,74,7.8,2
143,14801,74,10.8,2
144,13935,113,11.7,2
145,10815,152,9.1,1
146,14899,263,13.4,4
147,10373,86,12.6,4
148,12999,58,4.9,2
149,12892,149,11.9,2
150,13792,214,15.3,4
151,13320,417,7.7,4
152,12190,300,5.9,4
153,12450,281,9.1,2
154,13968,95,9.9,3
155,10823,497,10.1,3
156,10222,208,13.1,2
157,13938,372,7.9,5
158,11388,143,11.6,2
159,13889,413,12.3,1
160,12161,83,10.3,3
161,13271,52,8.1,2
162,11926,17,6.5,0
163,14694,218,5.4,1
164,12952,228,5.6,4
165,14581,292,5.2,4
166,13994,419,14.6,4
167,12599,424,9.5,5
168,11667,407,16.1,2
169,13082,201,11.1,4
170,13886,418,5.4,1
171,14758,442,9.4,4
172,12115,499,11.9,1
173,12753,82,10.9,1
174,13169,128,8.7,2
175,11555,80,12.7,3
176,11081,189,6.8,3
177,13935,480,10.5,7
178,10088,156,12.4,5
179,12701,316,8.9,2
180,12704,160,11.5,7
181,12960,242,9.6,3
182,12419,314,10.6,1
183,12423,82,11.2,4
184,14148,44,9.1,4
185,11748,162,14.2,3
186,10041,221,10.8,4
187,12139,149,11.7,2
188,10039,124,13.4,2
189,13085,1,11.8,2
190,13680,183,7.1,7
191,12152,208,12.2,3
192,13938,433,10.8,4
193,12091,97,7.9,1
194,10209,21,13.4,3
195,10600,355,6.9,4
196,10605,439,8.3,2
197,12524,411,8.7,1
198,13710,404,6.2,7
199,12157,223,9.9,3
200,10214,400,8.0,2
201,11577,462,10.7,5
202,12819,48,15.2,10
203,12125,32,9.9,2
204,10269,489,11.4,2
205,12409,288,9.9,4
206,12578,437,9.1,3
207,14779,380,12.2,5
208,14258,437,7.2,1
209,14561,130,13.0,2
210,10823,441,7.7,2
211,13636,493,14.0,2
212,12596,278,8.9,7
213,13954,485,7.5,2
214,13832,245,10.3,3
215,12100,52,5.3,3
216,14584,209,6.8,3
217,13603,352,11.4,2
218,13468,230,13.5,1
219,10651,465,8.2,4
220,11635,186,13.8,4
221,14815,162,8.8,1
222,11168,199,10.5,3
223,14077,477,10.6,4
224,10199,401,14.6,2
225,11356,472,12.7,5
226,13506,456,9.4,6
227,10803,279,17.3,2
228,10701,33,9.8,4
229,10503,413,10.0,0
230,14565,19,11.0,3
231,12414,121,8.7,2
232,14720,69,14.2,4
233,12968,293,9.7,6
234,12871,215,11.9,2
235,14759,123,1.8,4
236,14847,410,10.4,4
237,13468,280,9.0,4
238,11419,54,10.2,1
239,11099,21,6.5,3
240,13170,97,9.5,3
241,10383,346,10.6,2
242,13941,138,8.9,0
243,11394,42,11.8,1
244,13328,413,10.2,1
245,11653,441,11.9,0
246,14272,246,12.9,2
247,14324,419,13.2,1
248,12395,28,8.9,0
249,12039,396,8.8,4
250,11986,58,14.8,0
251,11263,127,7.2,3
252,11712,428,8.7,3
253,10350,263,9.5,2
254,14027,144,7.4,0
255,10441,468,10.3,2
256,12809,93,13.6,1
257,12563,35,4.3,1
258,13153,92,8.5,4
259,11385,263,10.4,2
260,10288,470,14.7,5
261,12056,14,5.5,6
262,10998,315,12.6,3
263,12334,484,9.5,4
264,11423,318,10.5,4
265,10074,202,13.7,1
266,11463,376,9.6,2
267,13195,322,9.9,2
268,12206,278,10.4,1
269,10430,144,10.6,4
270,11472,355,6.7,5
271,13482,495,10.5,4
272,13181,488,11.3,7
273,14942,496,5.2,4
274,11731,459,12.6,4
275,10036,376,12.7,2
276,11021,491,10.8,4
277,11998,299,6.0,4
278,12761,353,8.1,1
279,13118,354,3.0,1
280,12536,372,8.9,1
281,14715,481,7.3,3
282,14266,467,9.8,2
283,10146,404,13.0,3
284,14964,394,8.5,2
285,14516,403,11.2,0
286,14669,245,9.7,3
287,11027,491,7.3,2
288,13666,12,14.2,2
289,11287,394,12.5,3
290,12847,71,6.7,3
291,10321,184,11.3,3
292,14096,104,9.4,4
293,12294,11,11.5,5
294,11613,498,6.0,1
295,10477,208,9.0,1
296,13165,225,11.1,4
297,11827,317,6.7,3
298,10783,382,10.8,0
299,14629,422,9.0,2
300,11948,273,10.1,3
301,13332,54,13.1,3
302,14675,173,18.1,3
303,11594,247,10.2,4
304,11748,153,9.4,4
305,12034,106,15.8,3
306,10257,159,13.4,2
307,12992,106,15.3,4
308,11418,193,10.7,2
309,14978,295,12.4,4
310,14115,276,10.1,2
311,10110,73,10.2,2
312,12553,43,10.3,3
313,11058,372,11.2,2
314,14351,194,10.2,3
315,14734,129,14.2,0
316,12043,311,11.7,2
317,12182,108,10.6,4
318,14493,103,10.5,4
319,13559,435,8.7,3
320,11622,133,6.7,2
321,13659,250,13.0,3
322,12695,396,13.0,4
323,13885,270,6.7,4
324,14781,444,6.7,3
325,13285,103,12.1,6
326,12167,480,9.0,1
327,13887,296,7.0,3
328,14398,238,5.2,6
329,14323,108,8.6,3
330,14452,137,10.4,1
331,14797,426,9.2,2
332,13393,298,6.0,4
333,12271,289,8.2,3
334,13712,25,11.7,6
335,11587,118,14.7,7
336,11215,230,10.1,2
337,11646,334,13.1,4
338,11351,256,12.2,0
339,13199,9,8.3,4
340,10365,119,12.8,1
341,13940,119,13.4,2
342,14615,91,8.5,3
343,13200,172,10.1,3
344,11627,211,8.3,2
345,13202,314,6.2,3
346,11646,409,13.1,5
347,10982,116,14.8,5
348,12396,288,9.8,3
349,12037,22,8.4,2
350,13553,349,13.2,4
351,10922,55,13.5,1
352,13747,476,7.4,1
353,13659,445,10.4,3
354,13783,108,15.9,2
355,13996,441,15.5,3
356,14457,77,7.2,2
357,14278,61,5.8,2
358,11475,122,11.1,1
359,14659,92,12.1,1
360,14410,323,12.2,0
361,12069,222,11.6,1
362,13768,459,10.9,2
363,12853,130,8.7,7
364,10403,498,8.1,3
365,11148,370,12.4,2
366,10613,441,7.9,5
367,11877,248,5.0,5
368,11614,121,10.4,4
369,13018,201,10.9,2
370,14789,161,15.8,3
371,11735,250,10.1,1
372,13549,218,6.0,5
373,12920,63,13.7,1
374,14936,400,9.9,5
375,12151,217,9.5,3
376,12381,385,6.5,2
377,11811,341,11.5,5
378,13202,64,10.5,6
379,10753,212,10.2,4
380,12473,120,12.8,6
381,11342,69,13.2,4
382,10505,124,11.0,2
383,13483,377,11.6,5
384,11970,145,11.0,2
385,14050,296,15.0,2
386,14148,358,7.3,5
387,13638,129,6.7,3
388,12423,13,6.4,8
389,14485,274,11.6,0
390,10674,68,9.7,1
391,10593,367,6.7,3
392,12780,270,9.4,2
393,13669,496,16.5,1
394,12553,133,11.3,2
395,14179,62,14.4,1
396,13139,161,6.1,1
397,14510,26,10.9,2
398,12501,247,11.5,2
399,12794,189,12.1,2
400,14294,452,9.2,4
401,11713,286,13.0,1
402,12346,446,11.5,4
403,10300,318,10.3,3
404,14225,337,8.7,2
405,11907,220,5.5,1
406,12486,326,4.2,3
407,10207,441,8.0,2
408,10294,249,9.5,1
409,11874,91,8.0,2
410,13759,36,11.0,3
411,12089,7,12.5,3
412,11773,321,6.2,5
413,12864,202,11.6,2
414,14722,333,9.9,3
415,14374,41,4.8,1
416,13427,32,12.7,3
417,10529,142,7.2,2
418,12134,256,17.7,3
419,11925,161,13.5,0
420,14789,30,9.6,2
421,11361,457,10.0,2
422,10863,262,5.8,2
423,13217,10,15.3,2
424,12363,203,7.5,4
425,14321,359,10.1,5
426,13495,276,8.1,3
427,11968,345,11.4,4
428,10068,124,9.9,6
429,11643,118,8.1,3
430,11021,268,11.4,1
431,13144,278,14.5,3
432,11471,76,10.1,1
433,11383,14,3.4,0
434,12931,106,11.1,5
435,11337,176,5.6,2
436,13167,182,5.9,2
437,11243,36,5.6,3
438,11706,445,12.1,2
