GradeID,EnrollmentID,FinalGrade,LetterGrade,PassFail
1,1,65.8,D,Pass
2,2,75.3,C,Pass
3,3,51.2,F,Fail
4,4,56.0,F,Fail
5,5,66.2,D,Pass
6,6,77.0,C,Pass
7,7,82.9,B,Pass
8,8,96.8,A,Pass
9,9,89.4,B,Pass
10,10,82.1,B,Pass
11,11,69.6,D,Pass
12,12,85.6,B,Pass
13,13,91.7,A,Pass
14,14,71.8,C,Pass
15,15,88.1,B,Pass
16,16,73.0,C,Pass
17,17,74.6,C,Pass
18,18,73.6,C,Pass
19,19,79.2,C,Pass
20,20,55.5,F,Fail
21,21,85.0,B,Pass
22,22,100.0,A,Pass
23,23,78.7,C,Pass
24,24,60.5,D,Pass
25,25,98.4,A,Pass
26,26,87.5,B,Pass
27,27,76.6,C,Pass
28,28,68.6,D,Pass
29,29,84.6,B,Pass
30,30,80.9,B,Pass
31,31,88.8,B,Pass
32,32,67.1,D,Pass
33,33,85.6,B,Pass
34,34,73.8,C,Pass
35,35,63.3,D,Pass
36,36,82.0,B,Pass
37,37,71.4,C,Pass
38,38,76.4,C,Pass
39,39,72.2,C,Pass
40,40,73.9,C,Pass
41,41,57.2,F,Fail
42,42,80.8,B,Pass
43,43,78.4,C,Pass
44,44,64.7,D,Pass
45,45,71.5,C,Pass
46,46,72.3,C,Pass
47,47,73.8,C,Pass
48,48,77.5,C,Pass
49,49,100.0,A,Pass
50,50,69.2,D,Pass
51,51,75.7,C,Pass
52,52,83.2,B,Pass
53,53,75.4,C,Pass
54,54,94.9,A,Pass
55,55,71.4,C,Pass
56,56,81.8,B,Pass
57,57,85.1,B,Pass
58,58,68.7,D,Pass
59,59,93.3,A,Pass
60,60,79.2,C,Pass
61,61,77.3,C,Pass
62,62,90.5,A,Pass
63,63,75.2,C,Pass
64,64,86.1,B,Pass
65,65,70.8,C,Pass
66,66,69.4,D,Pass
67,67,89.5,B,Pass
68,68,96.0,A,Pass
69,69,85.0,B,Pass
70,70,86.0,B,Pass
71,71,100.0,A,Pass
72,72,62.3,D,Pass
73,73,91.8,A,Pass
74,74,73.0,C,Pass
75,75,89.1,B,Pass
76,76,84.2,B,Pass
77,77,82.6,B,Pass
78,78,90.8,A,Pass
79,79,96.4,A,Pass
80,80,74.7,C,Pass
81,81,77.7,C,Pass
82,82,71.1,C,Pass
83,83,68.8,D,Pass
84,84,64.0,D,Pass
85,85,90.9,A,Pass
86,86,73.7,C,Pass
87,87,79.9,C,Pass
88,88,73.0,C,Pass
89,89,89.4,B,Pass
90,90,63.8,D,Pass
91,91,66.5,D,Pass
92,92,53.8,F,Fail
93,93,62.1,D,Pass
94,94,68.5,D,Pass
95,95,70.8,C,Pass
96,96,76.9,C,Pass
97,97,72.9,C,Pass
98,98,93.4,A,Pass
99,99,68.3,D,Pass
100,100,79.2,C,Pass
101,101,67.8,D,Pass
102,102,85.6,B,Pass
103,103,85.2,B,Pass
104,104,79.4,C,Pass
105,105,89.1,B,Pass
106,106,81.3,B,Pass
107,107,60.3,D,Pass
108,108,73.8,C,Pass
109,109,66.6,D,Pass
110,110,74.8,C,Pass
111,111,71.7,C,Pass
112,112,68.0,D,Pass
113,113,79.9,C,Pass
114,114,100.0,A,Pass
115,115,100.0,A,Pass
116,116,96.3,A,Pass
117,117,79.3,C,Pass
118,118,59.2,F,Fail
119,119,71.5,C,Pass
120,120,81.6,B,Pass
121,121,72.9,C,Pass
122,122,89.4,B,Pass
123,123,74.6,C,Pass
124,124,72.2,C,Pass
125,125,84.2,B,Pass
126,126,82.2,B,Pass
127,127,81.4,B,Pass
128,128,83.1,B,Pass
129,129,75.3,C,Pass
130,130,95.3,A,Pass
131,131,71.3,C,Pass
132,132,93.1,A,Pass
133,133,81.1,B,Pass
134,134,93.6,A,Pass
135,135,55.7,F,Fail
136,136,88.7,B,Pass
137,137,78.4,C,Pass
138,138,83.3,B,Pass
139,139,65.8,D,Pass
140,140,73.2,C,Pass
141,141,97.5,A,Pass
142,142,80.0,B,Pass
143,143,87.0,B,Pass
144,144,79.4,C,Pass
145,145,81.4,B,Pass
146,146,82.0,B,Pass
147,147,80.7,B,Pass
148,148,63.2,D,Pass
149,149,90.7,A,Pass
150,150,94.8,A,Pass
151,151,69.7,D,Pass
152,152,54.7,F,Fail
153,153,90.6,A,Pass
154,154,85.8,B,Pass
155,155,81.5,B,Pass
156,156,98.4,A,Pass
157,157,66.8,D,Pass
158,158,75.5,C,Pass
159,159,99.1,A,Pass
160,160,81.4,B,Pass
161,161,80.8,B,Pass
162,162,85.5,B,Pass
163,163,78.5,C,Pass
164,164,52.4,F,Fail
165,165,48.0,F,Fail
166,166,78.6,C,Pass
167,167,86.3,B,Pass
168,168,80.8,B,Pass
169,169,81.6,B,Pass
170,170,72.6,C,Pass
171,171,78.4,C,Pass
172,172,100.0,A,Pass
173,173,78.5,C,Pass
174,174,82.7,B,Pass
175,175,70.5,C,Pass
176,176,80.5,B,Pass
177,177,85.2,B,Pass
178,178,82.8,B,Pass
179,179,85.5,B,Pass
180,180,77.2,C,Pass
