SupportID,StudentID,ParentEducation,InternetAccess
1,10001,Some College,Yes
2,10002,Graduate,Yes
3,10003,High School,Yes
4,10004,High School,Yes
5,10005,Graduate,Yes
6,10006,College,Yes
7,10007,Graduate,Yes
8,10008,High School,Yes
9,10009,High School,Yes
10,10010,High School,Yes
11,10011,College,Yes
12,10012,College,Yes
13,10013,College,Yes
14,10014,High School,No
15,10015,Some College,Yes
16,10016,Graduate,Yes
17,10017,Graduate,No
18,10018,High School,Yes
19,10019,College,Yes
20,10020,Some College,Yes
21,10021,Some College,Yes
22,10022,College,Yes
23,10023,Graduate,Yes
24,10024,Graduate,Yes
25,10025,Some College,Yes
26,10026,Some College,Yes
27,10027,College,Yes
28,10028,Graduate,No
29,10029,Some College,Yes
30,10030,Graduate,Yes
31,10031,Some College,Yes
32,10032,College,No
33,10033,Graduate,Yes
34,10034,Some College,Yes
35,10035,Some College,Yes
36,10036,Some College,Yes
37,10037,Some College,Yes
38,10038,College,Yes
39,10039,Graduate,Yes
40,10040,Graduate,Yes
41,10041,High School,Yes
42,10042,Graduate,Yes
43,10043,High School,Yes
44,10044,Some College,Yes
45,10045,College,Yes
46,10046,College,Yes
47,10047,Some College,Yes
48,10048,High School,Yes
49,10049,Some College,Yes
50,10050,College,Yes
51,10051,College,Yes
52,10052,Graduate,Yes
53,10053,High School,Yes
54,10054,Graduate,Yes
55,10055,College,No
56,10056,College,Yes
57,10057,Graduate,No
58,10058,Graduate,Yes
59,10059,College,Yes
60,10060,Graduate,Yes
61,10061,Graduate,Yes
62,10062,High School,Yes
63,10063,College,Yes
64,10064,Some College,Yes
65,10065,High School,Yes
66,10066,Some College,Yes
67,10067,Graduate,Yes
68,10068,Graduate,Yes
69,10069,Some College,Yes
70,10070,Graduate,Yes
71,10071,Graduate,Yes
72,10072,High School,Yes
73,10073,Some College,Yes
74,10074,High School,Yes
75,10075,Some College,Yes
76,10076,High School,Yes
77,10077,College,Yes
78,10078,College,Yes
79,10079,Some College,Yes
80,10080,College,Yes
81,10081,High School,Yes
82,10082,Some College,No
83,10083,College,Yes
84,10084,College,Yes
85,10085,Some College,Yes
86,10086,College,Yes
87,10087,College,Yes
88,10088,Some College,Yes
89,10089,College,Yes
90,10090,College,Yes
91,10091,College,Yes
92,10092,College,Yes
93,10093,Graduate,No
94,10094,Some College,Yes
95,10095,Graduate,Yes
96,10096,Graduate,Yes
97,10097,High School,Yes
98,10098,Graduate,Yes
99,10099,Graduate,Yes
100,10100,High School,Yes
101,10101,College,Yes
102,10102,College,No
103,10103,Graduate,Yes
104,10104,High School,Yes
105,10105,College,Yes
106,10106,High School,Yes
107,10107,Some College,Yes
108,10108,Some College,No
109,10109,Some College,Yes
110,10110,Some College,Yes
111,10111,Graduate,Yes
112,10112,Some College,Yes
113,10113,Some College,Yes
114,10114,High School,No
115,10115,College,Yes
116,10116,High School,Yes
117,10117,Graduate,Yes
118,10118,Some College,Yes
119,10119,College,Yes
120,10120,College,Yes
121,10121,Some College,Yes
122,10122,Some College,Yes
123,10123,Graduate,Yes
124,10124,Graduate,Yes
125,10125,Some College,Yes
126,10126,Some College,Yes
127,10127,Some College,Yes
128,10128,Some College,Yes
129,10129,College,Yes
130,10130,Graduate,Yes
131,10131,Some College,Yes
132,10132,Some College,Yes
133,10133,College,Yes
134,10134,High School,Yes
135,10135,Some College,Yes
136,10136,College,Yes
137,10137,College,Yes
138,10138,High School,Yes
139,10139,Graduate,Yes
140,10140,Graduate,Yes
141,10141,Graduate,Yes
142,10142,Some College,Yes
143,10143,Graduate,Yes
144,10144,Some College,Yes
145,10145,Some College,Yes
146,10146,College,Yes
147,10147,Graduate,Yes
148,10148,Graduate,Yes
149,10149,Graduate,Yes
150,10150,Some College,Yes
151,10151,Some College,Yes
152,10152,Graduate,Yes
153,10153,Some College,Yes
154,10154,Some College,Yes
155,10155,High School,Yes
156,10156,High School,Yes
157,10157,Graduate,Yes
158,10158,Graduate,Yes
159,10159,High School,Yes
160,10160,Some College,Yes
161,10161,Some College,Yes
162,10162,College,Yes
163,10163,Graduate,Yes
164,10164,Graduate,Yes
165,10165,Graduate,No
166,10166,College,Yes
167,10167,College,Yes
168,10168,Some College,Yes
169,10169,High School,No
170,10170,High School,Yes
171,10171,High School,Yes
172,10172,Some College,Yes
173,10173,High School,Yes
174,10174,College,Yes
175,10175,College,No
176,10176,Graduate,Yes
177,10177,High School,Yes
178,10178,College,Yes
179,10179,Graduate,Yes
180,10180,High School,Yes
181,10181,High School,Yes
182,10182,College,Yes
183,10183,Graduate,No
184,10184,Graduate,Yes
185,10185,College,Yes
186,10186,College,Yes
187,10187,College,Yes
188,10188,High School,Yes
189,10189,College,No
190,10190,College,Yes
191,10191,Some College,Yes
192,10192,College,Yes
193,10193,College,Yes
194,10194,High School,Yes
195,10195,Graduate,Yes
196,10196,High School,No
197,10197,Some College,Yes
198,10198,College,Yes
199,10199,College,Yes
200,10200,College,Yes
201,10201,College,Yes
202,10202,College,Yes
203,10203,College,Yes
204,10204,Some College,Yes
205,10205,College,Yes
206,10206,College,Yes
207,10207,College,Yes
208,10208,Some College,Yes
209,10209,College,Yes
210,10210,Some College,Yes
211,10211,High School,Yes
212,10212,College,Yes
213,10213,Graduate,Yes
214,10214,Some College,Yes
215,10215,High School,Yes
216,10216,Some College,Yes
217,10217,Some College,Yes
218,10218,High School,Yes
219,10219,College,Yes
220,10220,College,Yes
221,10221,Some College,Yes
222,10222,High School,Yes
223,10223,College,Yes
224,10224,Some College,Yes
225,10225,Graduate,Yes
226,10226,High School,No
227,10227,Graduate,Yes
228,10228,Graduate,Yes
229,10229,Some College,Yes
230,10230,High School,Yes
231,10231,College,Yes
232,10232,College,Yes
233,10233,Some College,Yes
234,10234,College,Yes
235,10235,College,Yes
236,10236,Graduate,Yes
237,10237,Graduate,Yes
238,10238,High School,Yes
239,10239,Graduate,Yes
240,10240,College,Yes
241,10241,High School,Yes
242,10242,High School,Yes
243,10243,Some College,Yes
244,10244,Graduate,Yes
245,10245,High School,Yes
246,10246,College,Yes
247,10247,High School,Yes
248,10248,High School,Yes
249,10249,Some College,Yes
250,10250,College,Yes
251,10251,College,Yes
252,10252,Graduate,No
253,10253,College,Yes
254,10254,High School,Yes
255,10255,College,Yes
256,10256,College,Yes
257,10257,High School,Yes
258,10258,Some College,Yes
259,10259,Graduate,Yes
260,10260,Graduate,Yes
261,10261,Some College,Yes
262,10262,High School,Yes
263,10263,Graduate,Yes
264,10264,Some College,Yes
265,10265,Some College,Yes
266,10266,Some College,Yes
267,10267,Graduate,Yes
268,10268,Graduate,Yes
269,10269,Graduate,Yes
270,10270,Graduate,Yes
271,10271,College,No
272,10272,Some College,Yes
273,10273,College,Yes
274,10274,Some College,Yes
275,10275,Graduate,Yes
276,10276,Graduate,Yes
277,10277,College,No
278,10278,High School,Yes
279,10279,Graduate,Yes
280,10280,High School,Yes
281,10281,Some College,Yes
282,10282,College,Yes
283,10283,High School,Yes
284,10284,High School,No
